name,downloads,downloads_2022-08-26,created_at,updated_at,"[2022-08-26, 2022-09-11]"
Primary,70145.0,64749.0,2021-10-31T15:28:30Z,2022-08-25T10:24:37Z,5396.0
Terminal,19069.0,17915.0,2021-10-27T13:15:26Z,2022-08-16T13:54:01Z,1154.0
Purple Aurora,3101.0,2934.0,2021-10-30T22:58:47Z,2021-12-02T15:04:15Z,167.0
Bubble Space,21934.0,20294.0,2021-10-30T16:29:27Z,2022-08-09T15:52:54Z,1640.0
Things,130798.0,119774.0,2021-10-26T03:16:06Z,2022-08-25T05:23:00Z,11024.0
Wyrd,7569.0,7083.0,2022-02-13T06:08:36Z,2022-05-30T22:04:49Z,486.0
Typomagical,12617.0,11739.0,2021-09-06T15:23:01Z,2022-08-03T02:06:01Z,878.0
Typewriter,27489.0,25113.0,2021-11-20T04:29:49Z,2022-08-14T09:23:55Z,2376.0
WilcoxOne,2210.0,2109.0,2020-10-22T18:37:22Z,2022-07-09T19:01:20Z,101.0
Alchemy,5159.0,5062.0,2021-12-05T09:46:11Z,2022-07-14T09:30:51Z,97.0
Harmonic,12057.0,11311.0,2021-12-01T15:29:56Z,2022-08-10T06:14:16Z,746.0
Dracula Official,8868.0,8266.0,2020-07-10T12:47:15Z,2022-08-23T16:03:50Z,602.0
Nebula,6184.0,5731.0,2021-12-20T06:50:42Z,2021-12-30T11:35:24Z,453.0
Obsidian Nord Enhanced,4152.0,3886.0,2021-06-01T18:10:27Z,2022-06-05T21:01:22Z,266.0
Dracula Slim,2352.0,2216.0,2022-01-02T14:16:56Z,2022-01-17T18:04:37Z,136.0
LYT Mode,10522.0,9727.0,2022-01-07T03:52:02Z,2022-08-25T13:54:43Z,795.0
Sandstorm,4373.0,3932.0,2021-12-22T09:39:00Z,2022-08-03T02:04:57Z,441.0
Carpe Noctem,2755.0,2591.0,2022-01-17T05:34:37Z,2022-04-13T20:52:31Z,164.0
Vintage Theme,6730.0,6086.0,2022-01-23T15:41:34Z,2022-07-01T20:02:57Z,644.0
Catppuccin,3755.0,3418.0,2022-01-31T06:38:02Z,2022-08-21T14:15:18Z,337.0
Theme-That-Shall-Not-Be-Named,2660.0,2485.0,2021-11-07T18:42:28Z,2021-12-20T14:38:41Z,175.0
Willemstad,8577.0,7949.0,2021-12-05T10:33:04Z,2021-12-06T21:50:43Z,628.0
Sparkling Wisdom,4390.0,4049.0,2022-02-07T14:00:20Z,2022-08-15T02:38:13Z,341.0
Royal Velvet,4452.0,4036.0,2022-02-13T12:06:26Z,2022-08-23T17:49:59Z,416.0
Aqua,1283.0,1163.0,2022-03-21T13:25:53Z,2022-05-30T17:47:19Z,120.0
LYT Dracula,98.0,,,,
Dracula + LYT,3690.0,3267.0,2022-02-13T14:35:49Z,2022-08-20T16:55:33Z,423.0
Mado 11,5004.0,4372.0,2022-04-11T09:39:05Z,2022-08-25T15:41:08Z,632.0
Everblush,1302.0,1096.0,2022-04-23T13:39:44Z,2022-07-19T00:39:24Z,206.0
AbsoluteGruv,1696.0,1502.0,2022-04-07T19:06:54Z,2022-06-13T22:13:57Z,194.0
Violet Evening,1532.0,1334.0,2022-04-30T06:57:53Z,2022-05-07T20:42:50Z,198.0
Zenburn,1463.0,1264.0,2021-04-27T04:02:15Z,2022-08-26T10:18:17Z,199.0
Modern Dark,2022.0,1787.0,2022-05-13T09:32:35Z,2022-05-25T07:05:38Z,235.0
WiseLight,2327.0,1983.0,2022-02-07T14:19:51Z,2022-08-24T01:55:07Z,344.0
Red Solitude,1669.0,1333.0,2022-02-13T12:09:59Z,2022-06-30T15:02:08Z,336.0
Viridian,2581.0,2146.0,2022-04-21T03:39:19Z,2022-08-03T02:06:40Z,435.0
Kanagawa,1392.0,1068.0,2022-07-04T21:21:00Z,2022-08-01T08:33:20Z,324.0
Encore,2923.0,2212.0,2022-07-13T18:04:33Z,2022-08-18T10:11:48Z,711.0
Ukiyo,1822.0,1137.0,2022-07-07T09:53:08Z,2022-08-15T09:14:58Z,685.0
Mado Miniflow,3457.0,2526.0,2022-08-01T04:10:13Z,2022-08-25T03:42:13Z,931.0
Default,2.0,,,,
Windows 10,2.0,,,,
Silence,32.0,,,,
Rosé Pine Moon,,2684.0,2021-10-22T17:34:39Z,2022-06-27T10:52:28Z,
